"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.240903800E-1,2.464607358E-1,2.632104978E-2,9.916455269E0,9.919552449E0
6.264550680E-1,2.488535494E-1,2.392822690E-2,9.906884193E0,9.910038096E0
6.288198070E-1,2.536391914E-1,1.435693540E-2,9.923633575E0,9.926884824E0
6.311845470E-1,2.464607358E-1,2.632104978E-2,9.942776680E0,9.945865664E0
6.335492340E-1,2.679961324E-1,2.153540403E-2,9.954740524E0,9.958370580E0
6.359139740E-1,2.679961324E-1,2.392822690E-2,9.949954987E0,9.953592252E0
6.382786610E-1,2.874378264E-1,1.435693540E-2,9.940383911E0,9.944549207E0
6.406434010E-1,2.727817893E-1,3.828516230E-2,9.947562218E0,9.951375268E0
6.430080880E-1,2.751746178E-1,1.914258115E-2,9.957133293E0,9.960953314E0
6.453728280E-1,2.679961324E-1,2.392822690E-2,9.959526062E0,9.963159833E0
6.477375680E-1,2.775674164E-1,1.674975827E-2,9.954740524E0,9.958623556E0
6.501022550E-1,2.727817893E-1,0.000000000E0,9.957133293E0,9.960869105E0
6.524669950E-1,2.656033039E-1,-4.785645287E-3,9.969097137E0,9.972635848E0
6.548316820E-1,2.751746178E-1,7.178467698E-3,9.952347755E0,9.956153798E0
6.571964220E-1,2.826521695E-1,9.571290575E-3,9.957133293E0,9.961148893E0
6.595611610E-1,2.922234535E-1,2.153540403E-2,9.945169449E0,9.949485097E0
6.619258490E-1,2.874378264E-1,2.392822690E-2,9.940383911E0,9.944567631E0
6.642905880E-1,2.946162820E-1,2.632104978E-2,9.935597420E0,9.939999378E0
6.666552760E-1,2.922234535E-1,2.392822690E-2,9.930811882E0,9.935139241E0
6.690200150E-1,2.922234535E-1,1.435693540E-2,9.937990189E0,9.942295995E0
6.713847550E-1,2.970091105E-1,1.674975827E-2,9.942776680E0,9.947225898E0
6.737494430E-1,2.994019389E-1,2.153540403E-2,9.945169449E0,9.949698521E0
6.761141820E-1,2.850449979E-1,9.571290575E-3,9.935597420E0,9.939690053E0
6.784789220E-1,2.874378264E-1,1.914258115E-2,9.952347755E0,9.956516097E0
6.808436090E-1,2.775674164E-1,4.785645287E-3,9.957133293E0,9.961002459E0
6.832083490E-1,3.017947674E-1,2.392822644E-3,9.949954987E0,9.954531131E0
6.855730360E-1,2.922234535E-1,2.153540403E-2,9.954740524E0,9.959052024E0
6.879377760E-1,2.898306549E-1,1.914258115E-2,9.952347755E0,9.956585463E0
6.903024630E-1,2.922234535E-1,7.178467698E-3,9.961918831E0,9.966206544E0
6.926672030E-1,2.922234535E-1,7.178467698E-3,9.952347755E0,9.956639590E0
6.950319430E-1,2.946162820E-1,-2.392822644E-3,9.930811882E0,9.935181383E0
6.973966300E-1,2.751746178E-1,7.178467698E-3,9.937990189E0,9.941801728E0
6.997613700E-1,2.874378264E-1,7.178467698E-3,9.914062500E0,9.918231056E0
7.021260570E-1,2.946162820E-1,1.435693540E-2,9.916455269E0,9.920841193E0
7.044907970E-1,2.970091105E-1,2.871387079E-2,9.909276962E0,9.913768648E0
7.068555360E-1,2.970091105E-1,3.110669367E-2,9.914062500E0,9.918559235E0
7.092202240E-1,2.922234535E-1,2.153540403E-2,9.914062500E0,9.918391683E0
7.115849630E-1,2.874378264E-1,2.871387079E-2,9.926026344E0,9.930228798E0
7.139496510E-1,2.874378264E-1,2.632104978E-2,9.926026344E0,9.930222167E0
7.163143900E-1,2.850449979E-1,3.349951655E-2,9.933204651E0,9.937350125E0
7.186791300E-1,2.994019389E-1,2.632104978E-2,9.928419113E0,9.932967351E0
7.210438180E-1,2.898306549E-1,9.571290575E-3,9.937990189E0,9.942220195E0
7.234085570E-1,2.874378264E-1,4.785645287E-3,9.954740524E0,9.958890617E0
7.257732450E-1,2.826521695E-1,1.914258115E-2,9.961918831E0,9.965946291E0
7.281379840E-1,2.946162820E-1,1.435693540E-2,9.940383911E0,9.944759282E0
7.305027240E-1,2.751746178E-1,4.785645381E-2,9.945169449E0,9.949090746E0
7.328674110E-1,2.656033039E-1,3.828516230E-2,9.949954987E0,9.953572982E0
7.352321510E-1,2.874378264E-1,4.067798331E-2,9.940383911E0,9.944622039E0
7.375968380E-1,2.656033039E-1,3.828516230E-2,9.947562218E0,9.951181083E0
7.399615780E-1,2.560320199E-1,5.024927482E-2,9.906884193E0,9.910319460E0
7.423263180E-1,2.850449979E-1,4.307080805E-2,9.926026344E0,9.930211716E0
7.446910050E-1,2.584248483E-1,4.546362907E-2,9.911669731E0,9.915142319E0
7.470557450E-1,2.994019389E-1,4.067798331E-2,9.902098656E0,9.906707526E0
7.494204320E-1,2.874378264E-1,4.785645381E-2,9.906884193E0,9.911168708E0
7.517851720E-1,2.850449979E-1,3.349951655E-2,9.914062500E0,9.918215975E0
7.541499110E-1,2.826521695E-1,3.349951655E-2,9.940383911E0,9.944458093E0
7.565145990E-1,2.656033039E-1,4.785645381E-2,9.940383911E0,9.944046845E0
7.588793380E-1,2.898306549E-1,3.828516230E-2,9.940383911E0,9.944681989E0
7.612440260E-1,3.113660514E-1,4.307080805E-2,9.947562218E0,9.952527216E0
7.636087650E-1,2.799602449E-1,2.871387079E-2,9.957133293E0,9.961109659E0
7.659735050E-1,2.850449979E-1,2.392822690E-2,9.954740524E0,9.958849437E0
7.683381930E-1,2.922234535E-1,2.632104978E-2,9.954740524E0,9.959063523E0
7.707029320E-1,2.775674164E-1,2.871387079E-2,9.930811882E0,9.934731642E0
7.730676200E-1,2.946162820E-1,3.589234129E-2,9.937990189E0,9.942421033E0
7.754323590E-1,2.874378264E-1,9.571290575E-3,9.906884193E0,9.911057791E0
7.777970470E-1,2.994019389E-1,-1.435693540E-2,9.902098656E0,9.906634415E0
7.801617860E-1,2.799602449E-1,1.196411345E-2,9.897313118E0,9.901279101E0
7.825265260E-1,2.632105052E-1,2.871387079E-2,9.859027863E0,9.862582555E0
